Date,Open,High,Low,Close,Volume
2014-06-12,205.1,209.88,202.71,203.52,5997144
2014-06-13,204.78,206.79,201.58,206.42,3546789
2014-06-16,206.76,225.49,206.26,224.61,13246352
2014-06-17,224.11,235.54,222.85,231.67,13304907
2014-06-18,231.5,231.71,226.12,227.12,6947053
2014-06-19,228.88,235.31,227.0,227.79,8801907
2014-06-20,228.52,231.29,226.2,229.59,4908077
2014-06-23,229.51,238.99,228.22,237.22,7800189
2014-06-24,238.97,241.88,231.63,232.5,8081109
2014-06-25,233.05,237.55,230.24,236.89,5803257
2014-06-26,237.17,240.4,234.21,235.6,5122972
2014-06-27,234.69,240.0,234.5,239.06,5638787
2014-06-30,239.55,244.49,239.0,240.06,4833602
2014-07-01,242.46,243.44,238.7,239.72,4341242
2014-07-02,240.66,242.33,227.07,229.42,8035072
2014-07-03,231.29,231.9,224.0,229.25,5166716
2014-07-07,227.5,229.78,220.4,222.66,5901080
2014-07-08,218.65,220.96,214.27,219.07,7846165
2014-07-09,221.27,224.22,219.21,223.06,4117729
2014-07-10,217.18,222.22,216.04,219.46,4865246
2014-07-11,220.61,221.6,217.6,218.13,3307113
2014-07-14,219.99,228.79,215.45,226.7,7208573
2014-07-15,226.73,227.65,218.1,219.58,5732031
2014-07-16,221.82,224.8,216.82,217.16,4051097
2014-07-17,216.16,220.55,213.6,215.4,4650956
2014-07-18,215.95,221.21,215.93,220.02,4260618
2014-07-21,217.25,223.21,216.72,220.54,3825251
2014-07-22,222.19,223.3,219.11,219.58,2732485
2014-07-23,220.01,224.75,219.43,222.49,3088731
2014-07-24,223.25,225.1,220.8,223.54,3248410
2014-07-25,222.72,226.97,221.75,223.57,3090383
2014-07-28,224.25,232.0,221.4,224.82,6517611
2014-07-29,226.61,228.3,224.86,225.01,3387187
2014-07-30,221.92,229.6,221.04,228.92,4927823
2014-07-31,229.26,231.4,221.5,223.3,7749058
2014-08-01,226.09,237.5,226.0,233.27,11898133
2014-08-04,234.38,240.5,233.27,238.52,5967406
2014-08-05,237.47,242.99,235.69,238.49,5388581
2014-08-06,238.9,251.42,238.58,248.93,9249265
2014-08-07,250.12,256.69,249.12,252.39,7478926
2014-08-08,251.16,251.76,246.5,248.13,5099061
2014-08-11,255.48,263.74,255.0,259.32,8101276
2014-08-12,258.08,260.3,254.58,259.96,6390412
2014-08-13,262.01,265.64,259.61,260.31,6932628
2014-08-14,262.49,263.0,258.54,261.38,4126634
2014-08-15,261.48,262.09,258.5,262.01,3867874
2014-08-18,263.25,267.26,259.75,259.94,5849231
2014-08-19,258.87,259.33,251.62,256.76,5340136
2014-08-20,254.67,258.74,253.0,255.71,3027863
2014-08-21,256.52,258.8,253.26,254.34,2919241
2014-08-22,254.54,256.95,252.61,256.78,2836959
2014-08-25,258.19,263.68,258.19,262.55,4318053
2014-08-26,264.98,265.5,261.66,261.74,3822572
2014-08-27,263.5,264.24,260.29,263.25,2990532
2014-08-28,261.89,264.48,261.64,263.86,2854737
2014-08-29,268.7,272.0,267.51,269.7,6453958
2014-09-02,275.5,284.89,274.3,284.12,9852351
2014-09-03,287.67,288.0,280.1,281.19,6779735
2014-09-04,284.01,291.42,280.4,286.04,8341749
