,Change_Perc,Close,Forecast,High_Low_Change,Price_After_Month,Volume
2014-06-12,10.214285714285712,15.43,,2.138690861957227,8.4,8960714.0
2014-06-13,-9.569798068481122,10.3,,13.98058252427184,8.3,1085147.0
2014-06-16,3.481624758220497,10.7,,1.4018691588785082,8.39,464382.0
2014-06-17,-5.607476635514016,10.1,,5.940594059405938,8.5,625965.0
2014-06-18,-0.3996003996003911,9.97,,2.607823470411231,9.0,497839.0
2014-06-19,-2.5974025974025956,9.75,,4.615384615384608,8.53,598165.0
2014-06-20,0.3033367037411462,9.92,,1.1088709677419297,8.77,268254.0
2014-06-23,-3.487276154571152,10.24,,4.394531249999993,8.43,550205.0
2014-06-24,-2.0467836257309853,10.05,,2.0895522388059606,8.63,185123.0
2014-06-25,1.5243902439024426,9.99,,1.801801801801799,8.56,124542.0
2014-06-26,-2.5050100200400798,9.73,,2.5693730729701953,8.8,744320.0
2014-06-27,-1.8461538461538431,9.57,,4.179728317659356,8.81,196423.0
2014-06-30,-4.417670682730936,9.52,,4.621848739495812,8.35,119068.0
2014-07-01,1.1351909184726647,9.8,,0.20408163265305687,8.61,171588.0
2014-07-02,1.435897435897442,9.89,,2.022244691607677,8.54,164403.0
2014-07-03,-0.8080808080808087,9.82,,1.1201629327902183,8.53,76605.0
2014-07-07,6.250000000000003,11.05,,0.5429864253393548,8.46,1747345.0
2014-07-08,0.09319664492078086,10.74,,1.9553072625698238,8.54,454925.0
2014-07-09,0.5524861878453085,10.92,,0.36630036630037477,8.51,362904.0
2014-07-10,2.135922330097076,10.52,,0.7604562737642593,8.86,481169.0
2014-07-11,-3.703703703703694,9.88,,5.263157894736838,9.37,270004.0
2014-07-14,-2.6666666666666643,9.49,,6.638566912539505,10.58,393907.0
2014-07-15,-7.578947368421058,8.78,,9.33940774487472,11.73,675583.0
2014-07-16,-5.681818181818182,8.3,,8.192771084337345,11.67,1025941.0
2014-07-17,0.12254901960784054,8.17,,1.5911872705018457,11.87,272424.0
2014-07-18,-1.2269938650306704,8.05,,2.3602484472049623,11.59,324295.0
2014-07-21,-3.366583541147127,7.75,,4.12903225806452,12.02,493805.0
2014-07-22,7.26114649681529,8.42,,0.0,12.05,378680.0
2014-07-23,1.3017751479290085,8.56,,2.5700934579439116,11.74,169352.0
2014-07-24,-1.4739229024943399,8.69,,1.4959723820483404,10.89,118368.0
2014-07-25,-5.298759864712502,8.4,,5.595238095238082,11.41,128274.0
2014-07-28,-0.5988023952095681,8.3,,3.012048192771084,11.31,98373.0
2014-07-29,0.4790419161676758,8.39,,0.7151370679380061,11.72,189353.0
2014-07-30,0.23584905660376854,8.5,,4.117647058823525,11.45,562772.0
2014-07-31,-5.956112852664579,9.0,,6.6666666666666625,11.18,1080193.0
2014-08-01,-0.1170960187353605,8.53,,5.2754982415006,10.88,264973.0
2014-08-04,1.976744186046511,8.77,,0.912200684150514,11.23,149277.0
2014-08-05,-5.915178571428584,8.43,,6.524317912218276,11.11,238830.0
2014-08-06,1.4101057579318566,8.63,,0.3476245654692857,10.65,729773.0
2014-08-07,-1.2687427912341342,8.56,,2.219626168224293,10.22,136017.0
2014-08-08,1.1494252873563382,8.8,,3.068181818181813,10.16,233960.0
2014-08-11,-0.11337868480725381,8.81,,2.1566401816117993,9.78,174096.0
2014-08-12,-4.571428571428576,8.35,,6.826347305389226,9.99,217831.0
2014-08-13,2.8673835125448055,8.61,,0.5807200929152232,9.9,211904.0
2014-08-14,-1.2716763005780487,8.54,,1.4051522248243677,9.94,187130.0
2014-08-15,-0.9291521486643447,8.53,,1.641266119577967,10.89,425888.0
2014-08-18,0.35587188612100995,8.46,,3.7825059101654666,11.14,217662.0
2014-08-19,0.47058823529410765,8.54,,1.0538641686182861,10.46,350076.0
2014-08-20,1.1890606420927425,8.51,,1.4101057579318566,10.8,324031.0
2014-08-21,3.143189755529681,8.86,,1.5801354401805936,10.6,437657.0
2014-08-22,2.6286966046002016,9.37,,1.1739594450373663,10.99,534007.0
2014-08-25,11.134453781512612,10.58,,1.9848771266540555,10.25,1492970.0
2014-08-26,8.711770157553303,11.73,,1.44927536231884,10.4,2212144.0
2014-08-27,-6.64,11.67,,11.053984575835484,10.4,1723869.0
2014-08-28,4.489436619718308,11.87,,1.68491996630161,9.68,594635.0
2014-08-29,-2.5231286795626637,11.59,,4.918032786885249,9.18,511733.0
2014-09-02,5.069930069930071,12.02,,1.6638935108153168,9.11,584833.0
2014-09-03,-0.41322314049585895,12.05,,4.564315352697086,8.99,526321.0
2014-09-04,-3.37448559670782,11.74,,8.517887563884157,9.38,836410.0
2014-09-05,-7.5551782682512645,10.89,,8.172635445362706,9.48,1289956.0
2014-09-08,6.337371854613232,11.41,,4.557405784399646,9.2,741763.0
2014-09-09,0.8920606601248852,11.31,,3.8903625110521616,9.18,518006.0
2014-09-10,3.625110521662247,11.72,,0.34129692832763775,9.11,349152.0
2014-09-11,-1.5477214101461865,11.45,,2.9694323144104793,9.2,425774.0
2014-09-12,-2.1872265966754156,11.18,,4.651162790697671,9.08,464393.0
2014-09-15,-1.090909090909084,10.88,,1.8382352941176405,8.86,225728.0
2014-09-16,3.406998158379383,11.23,,0.2671415850400655,9.22,372621.0
2014-09-17,-1.594331266607615,11.11,,4.410441044104413,9.41,684349.0
2014-09-18,-4.484304932735426,10.65,,4.694835680751173,9.91,448420.0
2014-09-19,-4.12757973733583,10.22,,6.164383561643826,10.06,712949.0
2014-09-22,0.1972386587771161,10.16,,0.0984251968503916,9.82,429675.0
2014-09-23,-3.455083909180665,9.78,,3.5787321063394826,9.81,373304.0
2014-09-24,1.4213197969543205,9.99,,2.6026026026026003,9.59,234255.0
2014-09-25,-0.9999999999999963,9.9,,2.9292929292929206,9.4,358783.0
2014-09-26,0.1007049345417904,9.94,,1.509054325955738,9.35,292622.0
2014-09-29,10.558375634517777,10.89,,0.5509641873278119,9.66,560516.0
2014-09-30,2.957486136783736,11.14,,3.411131059245951,9.46,2189598.0
2014-10-01,-5.680793507664554,10.46,,6.883365200764807,9.66,542869.0
2014-10-02,2.759276879162711,10.8,,1.0185185185185133,9.69,288077.0
2014-10-03,-2.8414298808432674,10.6,,4.433962264150949,9.7,173361.0
2014-10-06,3.7771482530689364,10.99,,2.91173794358508,9.7,561339.0
2014-10-07,-6.648451730418947,10.25,,7.121951219512199,9.7,835784.0
2014-10-08,1.4634146341463448,10.4,,1.9230769230769162,9.75,549109.0
2014-10-09,0.5802707930367553,10.4,,0.9615384615384581,9.75,164323.0
2014-10-10,-6.1105722599418115,9.68,,7.541322314049591,9.77,550324.0
2014-10-13,-5.263157894736841,9.18,,7.734204793028332,9.56,351235.0
2014-10-14,-2.2532188841201806,9.11,,5.04939626783755,9.58,269644.0
2014-10-15,-0.11111111111110875,8.99,,2.224694104560615,9.51,347816.0
2014-10-16,4.22222222222223,9.38,,0.42643923240937254,9.27,452826.0
2014-10-17,-0.2105263157894692,9.48,,3.691983122362865,8.65,263492.0
2014-10-20,-2.2316684378321026,9.2,,4.021739130434794,8.8,346220.0
2014-10-21,-0.9708737864077656,9.18,,1.851851851851851,8.9,218658.0
2014-10-22,-1.5135135135135198,9.11,,3.4028540065861748,9.08,129094.0
2014-10-23,-0.5405405405405482,9.2,,1.086956521739146,9.35,298464.0
2014-10-24,-1.731601731601733,9.08,,3.524229074889871,8.89,342483.0
2014-10-27,-2.0994475138121684,8.86,,3.047404063205433,8.76,337742.0
2014-10-28,3.9458850056369945,9.22,,0.8676789587852501,8.62,626189.0
2014-10-29,2.282608695652183,9.41,,0.7438894792773676,8.98,516307.0
2014-10-30,-1.8811881188118762,9.91,,6.054490413723508,9.07,1179078.0
2014-10-31,-2.2351797862001814,10.06,,3.2803180914512926,8.64,599047.0
2014-11-03,-1.7999999999999972,9.82,,2.851323828920564,8.62,435678.0
2014-11-04,0.9259259259259245,9.81,,0.7135575942915421,8.63,595496.0
2014-11-05,-2.8368794326241074,9.59,,4.483837330552657,8.73,478068.0
2014-11-06,-2.4896265560165993,9.4,,2.6595744680851063,9.06,348503.0
2014-11-07,-0.5319148936170288,9.35,,3.31550802139038,9.52,705483.0
2014-11-10,2.8753993610223594,9.66,,0.5175983436853075,9.49,246411.0
2014-11-11,-2.4742268041236954,9.46,,3.5940803382663833,9.75,204688.0
2014-11-12,2.765957446808508,9.66,,1.2422360248447124,9.7,234950.0
2014-11-13,0.20682523267838235,9.69,,1.0319917440660438,10.0,403519.0
2014-11-14,0.41407867494823136,9.7,,1.0309278350515612,9.81,195761.0
2014-11-17,-0.3083247687564351,9.7,,1.6494845360824757,9.96,146876.0
2014-11-18,0.10319917440660255,9.7,,1.0309278350515612,9.87,218946.0
2014-11-19,0.20554984583761124,9.75,,0.20512820512820074,9.45,335317.0
2014-11-20,0.8273009307135478,9.75,,1.025641025641022,9.5,519326.0
2014-11-21,-0.3061224489796034,9.77,,0.7164790174002077,9.87,245274.0
2014-11-24,-2.4489795918367365,9.56,,3.13807531380752,9.96,293028.0
2014-11-25,0.31413612565444354,9.58,,2.087682672233813,9.95,333274.0
2014-11-26,-0.4188481675392767,9.51,,1.5772870662460605,9.96,140085.0
2014-11-28,-3.03347280334729,9.27,,3.667745415318229,9.93,203551.0
2014-12-01,-6.788793103448265,8.65,,7.63005780346821,9.96,613814.0
2014-12-02,0.5714285714285796,8.8,,2.045454545454542,9.29,258941.0
2014-12-03,1.482326111744593,8.9,,0.0,9.34,165492.0
2014-12-04,1.679731243001124,9.08,,0.22026431718061204,9.3,210639.0
2014-12-05,2.9735682819383213,9.35,,0.42780748663102597,9.09,155524.0
2014-12-08,-1.2222222222222159,8.89,,5.286839145106848,9.25,250201.0
2014-12-09,-0.454545454545465,8.76,,0.4566210045662206,9.28,412606.0
2014-12-10,-1.5981735159817416,8.62,,2.7842227378190283,9.22,158986.0
2014-12-11,3.218390804597714,8.98,,1.670378619153679,9.04,201961.0
2014-12-12,2.1396396396396336,9.07,,1.984564498346193,8.82,205721.0
2014-12-15,-5.159165751920954,8.64,,6.944444444444439,8.87,203091.0
2014-12-16,0.7009345794392373,8.62,,3.0162412993039625,8.77,376513.0
2014-12-17,0.3488372093023388,8.63,,2.6651216685978985,8.86,600411.0
2014-12-18,0.3448275862069096,8.73,,1.374570446735386,8.88,328845.0
2014-12-19,4.018369690011476,9.06,,4.525386313465785,9.14,761200.0
2014-12-22,4.730473047304727,9.52,,1.0504201680672232,9.41,391509.0
2014-12-23,-0.31512605042016134,9.49,,1.4752370916754538,9.23,228386.0
2014-12-24,2.739726027397258,9.75,,1.538461538461542,9.48,113443.0
2014-12-26,-0.8179959100204507,9.7,,1.7525773195876282,9.38,79525.0
2014-12-29,3.305785123966945,10.0,,0.0,9.25,262109.0
